GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year,gen_inertia,Candidatas,Start_time,csp_tes_capacity_h
ESS_Concepcion500_4h,Storage,Concepcion500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_Rapel500_4h,Storage,Rapel500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_NuevaPuertoMontt500_4h,Storage,NuevaPuertoMontt500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_Pichirropulli500_4h,Storage,Pichirropulli500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_Mulchen500_4h,Storage,Mulchen500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_RioMalleco500_4h,Storage,RioMalleco500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_NuevaPandeAzucar500_4h,Storage,NuevaPandeAzucar500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_Polpaico500_4h,Storage,Polpaico500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_Quillota500_4h,Storage,Quillota500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
ESS_NuevaAncud500_4h,Storage,NuevaAncud500,0,10000.0,.,0.0,15,.,0,0,0,0,0,Storage,.,.,.,0.85,1,4,.,0.0,True,2024,.
PHS_Parinacota220_10h,PHS,Parinacota220,0,16888.88,.,0.0,40,.,0,0,0,0,0,PHS,.,.,.,0.8,1,10,.,0.0,True,2024,.
